prep,model,target,n_features,run_MAE,run_MAPE,base_MAE,base_MAPE,win_MAE,win_R2,improve_vs_base_%
A,RandomForest,Poly_ER,27,1725.2083333333333,82.81480429197812,1429.0633834239716,64.70153608445368,1543.328537735849,-1.8600648607381465,-20.723010143875616
A,RandomForest,Poly_Depth,27,230.02777777777774,82.8148042919781,190.54178445652954,64.70153608445369,205.77713836477983,-1.8600648607381474,-20.7230101438756
A,RandomForest,Remain_PR,27,0.15763333333332893,7.542335800400117,0.1320260854635329,6.365687548927608,0.14202830188678886,-1.6403910724666972,-19.395597301768863
A,XGBoost,Poly_ER,27,1207.3367919921875,50.55042245999088,1429.0633834239716,64.70153608445368,1282.173083035451,-1.2203354853378294,15.515518346046845
A,XGBoost,Poly_Depth,27,160.97752888997397,50.550071458699094,190.54178445652954,64.70153608445369,170.95575267863723,-1.2203309913367542,15.515890989936857
A,XGBoost,Remain_PR,27,0.10798672040303552,5.2465922394228555,0.1320260854635329,6.365687548927608,0.11960616201724644,-1.0889526973180366,18.20804197602096
A,LightGBM,Poly_ER,27,1675.2518552479212,79.72622364247634,1429.0633834239716,64.70153608445368,1569.0478512164977,-1.9816001117643127,-17.227260503595936
A,LightGBM,Poly_Depth,27,223.3669140818512,79.7262236631283,190.54178445652954,64.70153608445369,209.20638024939316,-1.9816001127563068,-17.227260529204518
A,LightGBM,Remain_PR,27,0.15237420398756404,7.300098687389296,0.1320260854635329,6.365687548927608,0.14609930303474228,-1.7990266634053986,-15.41219559194727
A+B,RandomForest,Poly_ER,29,1733.2291666666667,83.29011293395342,1429.0633834239716,64.70153608445368,1548.2686320754717,-1.870572278978825,-21.284275195263042
A+B,RandomForest,Poly_Depth,29,231.0972222222222,83.29011293395342,190.54178445652954,64.70153608445369,206.43581761006286,-1.8705722789788264,-21.284275195263028
A+B,RandomForest,Remain_PR,29,0.1568333333333293,7.505469440953129,0.1320260854635329,6.365687548927608,0.14169402515722954,-1.6316528707275215,-18.789656440013477
A+B,XGBoost,Poly_ER,29,1133.9180908203125,45.93272025454705,1429.0633834239716,64.70153608445368,1244.903837383918,-1.168846002737641,20.65305822170772
A+B,XGBoost,Poly_Depth,29,151.18856811523438,45.93282309152382,190.54178445652954,64.70153608445369,165.98669807865934,-1.168825190429688,20.65332622633922
A+B,XGBoost,Remain_PR,29,0.10106153488159182,4.926288214710283,0.1320260854635329,6.365687548927608,0.11634364667928442,-1.0585629789559943,23.45335807937276
A+B,LightGBM,Poly_ER,29,1677.881305131846,79.87886905002043,1429.0633834239716,64.70153608445368,1575.3925187648576,-2.000105513182104,-17.411258632330064
A+B,LightGBM,Poly_Depth,29,223.71750759834367,79.87886916273972,190.54178445652954,64.70153608445369,210.05233600138635,-2.000105516260989,-17.411258762186563
