seg_set,n_windows,run_MAPE,base_MAPE
ME1 only,33,21.90288635782343,59.463777287030936
ARC+ME1 (default),106,29.361410760423755,64.70153608445368
ARC+ME1+overetch,146,99.93715520450422,63.17506550959837
all 4 segs,157,100.75324086994068,63.58286267897949
